Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitotic Spindle,0.2987196980453846,2.0825211468041016,1.000000e-03,1.000000e-03,3.000000e-03,89/189,22.52%,CENPE;FGD4;DLGAP5;KIF20B;TTK;TOP2A;CDC42BPA;NUSAP1;MARCKS;NEK2;AURKA;SMC4;BUB1;ARHGEF3;ROCK1;KIF11;SASS6;ANLN;TLK1;KIF4A;ECT2;CEP57;EPB41L2;PPP4R2;KIF15;SMC3;RASAL2;CDK1;TPX2;CENPF;NDC80;CDC27;RASA1;PALLD;CCNB2;ITSN1;CD2AP;ARHGAP5;CNTRL;RACGAP1;AKAP13;STK38L;KIF3B;CKAP5;KIF5B;KIF2C;ARHGEF12;RAPGEF6;SSH2;DYNLL2;CENPJ;SMC1A;ABI1;CCDC88A;CEP192;TUBD1;NIN;DOCK4;KATNA1;YWHAE;RASA2;KIF23;CLIP1;RFC1;APC;BIRC5;PAFAH1B1;CDK5RAP2;EPB41;RAB3GAP1;DLG1;MAPRE1;WASF1;MID1;LMNB1;RABGAP1;RANBP9;PDLIM5;PIF1;KIFAP3;BRCA2;PCGF5;LATS1;ALS2;SOS1;STAU1;HOOK3;NF1;ARF6
prerank,p53 Pathway,-0.3012353082491094,-2.013540225885453,1.000000e-03,2.377367e-03,8.000000e-03,78/169,24.69%,FOS;TXNIP;PIDD1;KLF4;JUN;TRAF4;ITGB4;LDHB;TGFB1;RGS16;COQ8A;RPL18;STEAP3;RXRA;RPL36;IRAK1;NOTCH1;RHBDF2;WRAP73;PLXNB2;RPS12;RAB40C;JAG2;ST14;ABCC5;DCXR;RALGDS;UPP1;SLC3A2;PLK3;ATF3;CTSD;HRAS;DEF6;TP53;SEC61A1;NINJ1;AEN;TRIB3;RACK1;VDR;STOM;ABAT;HDAC3;PPP1R15A;TAP1;RAD9A;RNF19B;MXD4;SFN;PMM1;RETSAT;CCND3;ZFP36L1;SOCS1;ADA;DDB2;EPHX1;NDRG1;MAPKAPK3;MKNK2;BLCAP;HMOX1;PVT1;PERP;POM121;BAX;EPS8L2;ACVR1B;FDXR;SDC1;CYFIP2;TCN2;DGKA;FOXO3;PCNA;HINT1;PRKAB1
prerank,Estrogen Response Early,-0.2973951364584269,-1.964765406875459,1.000000e-03,3.090578e-03,1.300000e-02,80/156,30.16%,FOS;IGFBP4;SLC37A1;KLF4;ASB13;RHOD;DHRS3;WFS1;FASN;MYC;MYBBP1A;SLC9A3R1;CELSR2;SLC7A5;RRP12;CD44;PPIF;LRIG1;NADSYN1;NCOR2;ELF3;MED24;SLC2A1;RARA;NXT1;OVOL2;KDM4B;CANT1;AQP3;AMFR;SYBU;ITPK1;AKAP1;ABAT;PDLIM3;SLC1A4;KLF10;ALDH3B1;MYB;SFN;ABCA3;SYNGR1;ABHD2;TPBG;FAM102A;IGF1R;CCND1;PODXL;BLVRB;B4GALT1;PAPSS2;TJP3;TSKU;ADCY1;BAG1;SCARB1;UNC119;ADCY9;KAZN;SLC27A2;FHL2;DLC1;MINDY1;SLC22A5;SH3BP5;RAPGEFL1;TBC1D30;SLC7A2;CISH;BCL2;GFRA1;RETREG1;HES1;SVIL;ABLIM1;FLNB;SIAH2;TGIF2;CBFA2T3;DHCR7
prerank,Coagulation,-0.34938566578860336,-1.9615332702245498,1.000000e-03,2.575481e-03,1.300000e-02,45/73,38.61%,SH2B2;TIMP1;CFD;F12;GNB2;FURIN;MST1;BMP1;LGMN;PDGFB;CAPN2;CTSH;SIRT2;C1R;FYN;PEF1;CSRP1;LEFTY2;WDR1;MSRB2;GP1BA;S100A13;PLEK;MASP2;ANXA1;S100A1;PECAM1;THBS1;MMP11;CTSO;GSN;RAPGEF3;MAFF;DUSP6;LRP1;CASP9;MMP15;SPARC;ISCU;F8;PREP;C2;PROC;RABIF;C1S
prerank,Apical Junction,-0.29113243209586565,-1.873433328393595,1.000000e-03,4.245299e-03,2.500000e-02,58/131,24.26%,MAPK11;NLGN2;AMH;LAMB3;NRTN;THBS3;CERCAM;ITGA3;PKD1;TSPAN4;ITGB4;JUP;CRAT;GAMT;GRB7;KCNH2;TMEM8B;ADAM15;BMP1;SDC3;HRAS;AKT2;ACTG1;TAOK2;PLCG1;VAV2;MAPK13;TUBG1;SYMPK;SRC;JAM3;PFN1;IRS1;ZYX;LDLRAP1;RAC2;INPPL1;ACTB;RHOF;VCL;SLIT2;ACTN4;TJP1;MYH9;B4GALT1;SYK;SHC1;CLDN15;SIRPA;TSC1;YWHAH;PCDH1;TRAF1;CNN2;SORBS3;CD276;COL16A1;PECAM1
prerank,Estrogen Response Late,-0.2821741531380569,-1.7935403832480807,1.934236e-03,6.092004e-03,4.000000e-02,68/141,27.63%,FOS;IGFBP4;DUSP2;FGFR3;KLF4;LSR;ISG20;WFS1;XRCC3;SLC2A8;LLGL2;HOMER2;IMPA2;SLC9A3R1;CELSR2;SLC7A5;CD44;PPIF;ST14;NCOR2;DCXR;NXT1;OVOL2;SLC29A1;MAPK13;AMFR;ITPK1;LARGE1;PDLIM3;TST;SLC1A4;ALDH3B1;TSTA3;MYB;SFN;IDH2;ABCA3;EMP2;ABHD2;PTPN6;TPBG;FAM102A;CCND1;BLVRB;PAPSS2;PERP;TJP3;BAG1;JAK1;SCARB1;GINS2;SLC27A2;DLG5;PKP3;CHST8;ASS1;DNAJC1;SLC22A5;CDC20;ZFP36;RAPGEFL1;UNC13B;SORD;CISH;ID2;PLXNB1;BCL2;METTL3
prerank,UV Response Up,-0.27869060557749886,-1.7927498427258237,1.000000e-03,5.415115e-03,4.000000e-02,53/134,21.82%,FOS;FOSB;CDKN1C;WIZ;HTR7;APOM;DGAT1;CLCN2;NFKBIA;HLA-F;FURIN;KCNH2;PPIF;SIGMAR1;BSG;STK25;MSX1;ATF3;MGAT1;IRF1;PRKCD;TGFBRAP1;AQP3;GRINA;SLC6A8;SULT1A1;SLC25A4;ARRB2;CLTB;PDLIM3;TST;TAP1;MRPL23;TUBA4A;SPR;CNP;CCND3;SELENOW;ATP6V1F;HYAL2;EPHX1;SQSTM1;STARD3;RHOB;HMOX1;FEN1;KLHDC3;POLR2H;CDC34;LHX2;ALDOA;BID;TYRO3
prerank,KRAS Signaling Dn,-0.3036275718444085,-1.7346671153074973,3.795066e-03,1.010381e-02,8.100000e-02,30/74,23.39%,FGFR3;LFNG;HSD11B2;PDK2;COQ8A;GAMT;CELSR2;SLC29A3;SPTBN2;CAMK1D;GPR3;CCDC106;MAST3;KMT2D;C5;CLSTN3;SIDT1;WNT16;SLC25A23;GTF3C5;MX1;NR4A2;DLK2;CHST2;GP1BA;ITGB1BP2;KCND1;SPHK2;PDCD1;MAGIX
prerank,Wnt-beta Catenin Signaling,-0.35809372932495326,-1.6900034853143877,2.605210e-02,1.394002e-02,1.200000e-01,23/38,31.25%,MYC;WNT5B;NOTCH1;KAT2A;FZD1;JAG2;NCOR2;HEY1;TP53;HDAC5;AXIN1;NCSTN;MAML1;PSEN2;FZD8;TCF7;CSNK1E;DVL2;AXIN2;PPARD;NKD1;CTNNB1;DKK1
prerank,Hedgehog Signaling,-0.40647217102257394,-1.688633152978772,1.577909e-02,1.297646e-02,1.220000e-01,14/24,29.32%,TLE1;ETS2;HEY1;LDB1;ADGRG1;TLE3;AMOT;VEGFA;MYH9;NRP2;SLIT1;PML;RTN1;CRMP1
