gene_id	gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
ENSG00000000419	DPM1	1646.160924003618	1554.2658819198457	1611.2449658199034	2270.284540506396	2168.0828976053417	2451.360444414355
ENSG00000000457	SCYL3	1227.3152451151236	1278.456696192942	1249.7397344755766	1410.1690240028154	1359.3645156850807	1293.7735678853537
ENSG00000000460	C1orf112	1554.3210077024864	1535.6082017089082	1526.7695165710575	2305.319795761124	2137.0314238967994	2417.3137715752664
ENSG00000001036	FUCA2	1.3915138833504803	8.112034874320697	3.726858055096153	61.311696695774586	50.37239068274664	51.07000925863239
ENSG00000001084	GCLC	1294.1079115159466	1340.1081612377793	1383.906624459038	1535.420061538469	1476.6700830284633	1529.830499569699
ENSG00000001167	NFYA	1525.0992161521262	1602.93809116577	1590.126103507692	1646.6569969722316	1671.9493510177413	1715.9523110900482
ENSG00000001460	STPG1	217.07616580267492	201.98966837058538	228.58062737923072	232.98444744394342	253.93205166096936	259.88960267170705
ENSG00000001461	NIPAL3	3485.742277792953	3295.1085659490677	3253.5470820989417	3770.669346790137	3742.0475982539047	3858.622921763336
ENSG00000001497	LAS1L	3236.661292673217	3135.3014789249496	3201.3710693275957	3009.5284263811636	2994.74213100165	3105.056562924849
ENSG00000001561	ENPP4	734.7193304090536	751.1744293620966	802.5167678640383	921.4272131993552	928.7840802599586	983.9488450496507
ENSG00000001626	CFTR	6.957569416752401	16.224069748641394	12.422860183653844	6.131169669577458	2.7601309963148846	18.158225514180405
ENSG00000001629	ANKIB1	2639.701836715861	2928.444589629772	2860.9847002954803	3274.0446035543628	3307.3269663343103	3487.514187817274
ENSG00000001630	CYP51A1	121.06170785149178	147.63903471263671	121.74402979980766	289.916737232877	263.5925101480715	257.61982448243447
ENSG00000001631	KRIT1	386.8408595714335	480.23246455978534	441.01153651971146	569.3228978893354	558.2364940046854	627.5936693338602
ENSG00000002016	RAD52	314.48213763720855	283.11001711379237	277.0297820954807	329.33139939444635	329.8356540596287	347.2760629587002
ENSG00000002330	BAD	649.8369835246742	570.2760516647451	580.1475705766345	435.31304653999956	424.3701406834135	448.2811923813287
ENSG00000002549	LAP3	3492.6998472097052	3515.7559145305904	3356.6568216232686	3338.8598257756103	3296.286442349051	3503.4026351421817
ENSG00000002586	CD99	101.58051348458505	107.07886034103322	111.80574165288459	177.8039204177463	151.80720479731866	110.0842421797187
ENSG00000002587	HS3ST1	76.53326358427641	76.25312781861456	67.08344499173076	87.58813813682083	78.66373339497422	85.11668209772064
ENSG00000002726	AOC1	30.613305433710565	20.280087185801744	26.088006385673072	12.262339339154916	8.280392988944653	10.214001851726477
ENSG00000002745	WNT16	40.353902617163925	25.958511597826234	47.20686869788461	12.262339339154916	13.800654981574423	3.4046672839088257
ENSG00000002746	HECW1	264.38763783659124	241.7386392547568	208.70405108538458	238.23973573215267	271.8729031370161	268.9687154287972
ENSG00000002822	MAD1L1	819.6016772934329	751.9856328495287	786.3670496252882	602.6063903813273	542.3657407758748	560.63521275032
ENSG00000002834	LASP1	5252.9649096480625	4912.648319888614	4998.958937902306	6132.045550958826	6109.549960342997	5883.265066594451
ENSG00000002919	SNX11	1138.2583565806929	1042.3964813502098	1114.3305584737498	991.4977237088118	1047.4697131014987	1004.3768487531036
ENSG00000003056	M6PR	4077.135678216907	3940.826541944995	4103.270718660865	5032.814417341725	5186.9761748247465	5170.55471516287
ENSG00000003147	ICA1	416.0626511217936	455.8963599368232	474.5532590155768	437.94069068410414	478.19269511155375	499.3512016399611
ENSG00000003393	ALS2	1042.2438986295097	975.0665918933479	875.8116429475959	1312.9461906709444	1248.9592758324852	1398.1833645918912
ENSG00000003400	CASP10	4898.12886939369	4794.212610723533	4996.474365865576	4414.44216209577	4594.928076115204	4597.4357223715515
ENSG00000003402	CFLAR	4365.179052070456	4446.206314615175	4417.569081307307	3513.1602206678836	3635.092522146703	3612.351988227264
ENSG00000003509	NDUFAF7	587.2188587739026	686.278150367531	580.1475705766345	756.761513502132	814.2386439128909	780.8036971097574
ENSG00000003756	RBM5	2467.1541151804013	2460.3801773814675	2556.624625795961	2830.8486245820495	2829.8243039718354	2761.185167250058
ENSG00000003987	MTMR7	126.6277633848937	130.60376147656325	152.80118025894228	162.91393693448674	168.36799077520794	194.06603518280306
ENSG00000003989	SLC7A2	115.49565231808985	104.645249878737	95.6560234141346	73.5740360349295	80.73383164221038	85.11668209772064
