gene_id	gene_name	baseMean	mean_MM1S_coculture	mean_MM1S_monoculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000281181	FP236383.3	310.7353612083405	621.470722416681	0.0	10.280702860776291	1.2624171569960385	5.801367937956837	6.5776089991365745e-09	0.00011110239360441589	0.0008667073873496138	MM1S_coculture_vs_MM1S_monoculture	up
ENSG00000170345	FOS	1071.4965620065252	40.09686851871091	2102.8962554943396	-5.695208404552207	1.1150714645878819	-4.553006676722849	5.28845940499862e-06	0.04002800900698272	8.833137379773912e-05	MM1S_coculture_vs_MM1S_monoculture	down
ENSG00000125740	FOSB	523.0163391122298	9.581987901273855	1036.4506903231859	-6.6844233535128	1.5469148365843162	-4.490388157131382	7.109349773308162e-06	0.04002800900698272	0.004344462396784737	MM1S_coculture_vs_MM1S_monoculture	down
ENSG00000187908	DMBT1	266.00190666793407	520.4604915330153	11.543321802852816	5.434868688017216	1.0957813929508602	4.324538832514604	1.5285127862459583e-05	0.0645452736812012	1.221112156607006e-06	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000228253	MT-ATP8	19676.32419853751	38350.680395779076	1001.9680012959567	5.257642890740974	1.0936833628701854	4.266922734013701	1.981877616024426e-05	0.06695178962453716	2.178939332463363e-06	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000241767	LINC01324	48.295125425039515	1.5085750229327337	95.0816758271463	-5.572489808412402	1.153997721637545	-3.9865217041240175	6.704899694530341e-05	0.08289598057121456	0.0013700353673261941	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000250312	ZNF718	46.66102415349415	91.3897320986831	1.9323162083051935	5.239500960825661	1.0856966857592936	3.906076058148347	9.380699646669414e-05	0.08289598057121456	0.0006798471064020283	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000167555	ZNF528	39.27326776857995	76.7409263143543	1.8056092228056084	5.066145549199771	1.0958021907320905	3.7445847137394597	0.00018069240330516908	0.08289598057121456	7.786991527438742e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000110693	SOX6	380.68670477306387	37.93252246649305	723.4408870796348	-4.235472325842906	0.9706624544236322	-3.624059448257046	0.0002900148990293564	0.08289598057121456	0.00024198870840400551	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000241636	LINC01323	26.876163320073513	1.446625478836238	52.305701161310786	-4.761646449951313	1.084634758170896	-3.477821465336805	0.0005055064979413855	0.08289598057121456	0.0006237306757721912	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000237440	ZNF737	28.237947076773043	54.22896784910916	2.2469263044369243	4.316414537675374	0.994652464805436	3.3650124754605706	0.0007654019821378634	0.08289598057121456	2.3480530598943857e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000133216	EPHB2	72.49324633920071	12.262360716310376	132.72413196209104	-3.3838883118139518	0.8219367234269798	-3.088960264271974	0.0020085830154346835	0.08289598057121456	0.011112615860574897	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000207954	MIR138-1	12.151503895488206	23.762205466021697	0.5408023249547133	4.542942704282977	1.0598436033778131	3.0869365938617404	0.0020223072817496563	0.08289598057121456	0.0008206442729925413	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000001036	FUCA2	29.330750574986823	54.251365545717874	4.410135604255777	3.4790601737888225	0.8550267422372607	3.005016869206614	0.002655661202793641	0.08289598057121456	0.0019257035538332394	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000169692	AGPAT2	51.51888191194127	9.52464879375966	93.51311503012288	-3.2293103360660784	0.7839351741302624	-2.9927199834175573	0.002765033147524319	0.08289598057121456	5.402948898710973e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000165643	SOHLH1	30.031019510185814	4.731349624831581	55.33068939554005	-3.4158032731313503	0.8434158755464688	-2.9783204213851984	0.002898328137766017	0.08289598057121456	0.0009929595355029062	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000111863	ADTRP	176.21130449668985	314.70895770140936	37.71365129197033	3.044148516252089	0.7529611077743088	2.9495820430578674	0.0031820407507985333	0.08289598057121456	0.017609926851411776	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000181408	UTS2R	73.16058814881508	15.42517443783021	130.89600185979995	-3.0445402973840294	0.7390321776648503	-2.937356194898137	0.0033102365583621966	0.08289598057121456	0.008732723587846042	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000231205	ZNF826P	82.721983335901	148.0729925919396	17.3709740798624	3.0554817109167356	0.7570535529897551	2.9213139581635144	0.0034855838025069957	0.08289598057121456	0.013670391332480183	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000160179	ABCG1	96.64128086815396	20.563817224449046	172.7187445118589	-3.0397562437335885	0.7578672414660376	-2.913505381690857	0.0035739567673685898	0.08289598057121456	0.0001294923287136474	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000210174	MT-TR	114.28578640862321	202.90762457226683	25.663948244979608	2.958721587621044	0.7247612207194121	2.907433944096415	0.0036440729757060953	0.08289598057121456	0.0001200170399151173	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000256229	ZNF486	20.509204025076688	38.46832515305559	2.550082897097793	3.6753815674319035	0.9914973943768145	2.8867161779952206	0.003892852182477137	0.08289598057121456	0.0016727619565250619	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000105643	ARRDC2	142.38469368529528	33.918260305895764	250.85112706469477	-2.8684580757852	0.7009601182511523	-2.8748536759321457	0.0040421477717632985	0.08289598057121456	0.007974679192639023	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000121807	CCR2	302.70303464077574	530.1960939371598	75.2099753443916	2.8093306266761657	0.6837874205803111	2.8683363152740236	0.00412636650050674	0.08289598057121456	1.9015152440568754e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000151067	CACNA1C	194.93367850236152	46.95237923912526	342.91497776559777	-2.8554006324883456	0.7054612240038319	-2.861811936542541	0.004212267681168908	0.08289598057121456	0.012647518137788642	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000210144	MT-TY	997.1817940133091	261.3856156808088	1732.977972345809	-2.7266607784750927	0.6582636318411726	-2.848252676931109	0.004396000687512276	0.08289598057121456	0.0020413700913857707	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000225138	SLC9A3-AS1	134.61637958295543	34.04344698953887	235.18931217637194	-2.770402380573432	0.6668115566800329	-2.844946252321316	0.0044418917478034935	0.08289598057121456	6.970352478199788e-06	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000141753	IGFBP4	29.62598881924931	5.483331918006798	53.768645720491826	-3.1810979044647003	0.8284604902245177	-2.813596894362672	0.004899061926784769	0.08289598057121456	0.00782471269848388	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000224420	ADM5	82.71471426981262	20.116993592329468	145.31243494729577	-2.8222078818367984	0.7002229868277329	-2.8081679047343484	0.0049824241721845575	0.08289598057121456	0.004396378274468121	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000160190	SLC37A1	356.77957656832956	100.38054549244224	613.1786076442169	-2.6048353112323523	0.6216614544398249	-2.7916941177904624	0.005243289653762858	0.08289598057121456	0.0002479146243132907	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000127528	KLF2	1780.7832366769246	519.5206291895223	3042.0458441643277	-2.5486382400632426	0.6093885454450063	-2.7690534323499625	0.005621941448050719	0.08289598057121456	3.376515379173559e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000101842	VSIG1	45.856859727014076	11.661307021674617	80.05241243235355	-2.7276295072740666	0.6522082462706759	-2.7685571232051065	0.005630511436554315	0.08289598057121456	2.625813638783047e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000105750	ZNF85	46.93144950642583	81.87826012836754	11.984638884484133	2.7221095638360984	0.6514690425588983	2.7667966874937644	0.005661004779686273	0.08289598057121456	5.9459116306079975e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000182871	COL18A1	62.728760830024164	15.569503936069887	109.88801772397845	-2.780186281588893	0.6944240678557291	-2.7622514892575873	0.005740424306650786	0.08289598057121456	0.0011417903573124437	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000210195	MT-TT	118.93713425562402	30.882621931736523	206.99164657951155	-2.7250154604134798	0.683827429637983	-2.760699046186844	0.005767779916723401	0.08289598057121456	0.001692135921557424	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000232346	Z74021.1	147.77570410167263	43.100841741132264	252.450566462213	-2.536427577446001	0.5993086169027538	-2.750748275820524	0.005945931477896333	0.08289598057121456	1.7160592623390138e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000204624	DISP3	84.74365685373026	23.484076315312524	146.00323739214798	-2.6107837612638476	0.626059842998004	-2.7483907030935635	0.0059888598018954485	0.08289598057121456	1.871179599638968e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000188732	FAM221A	27.416171104848377	48.69356174647326	6.1387804632235	2.8894793643442176	0.7131539278877943	2.7448403541109183	0.0060540340768968845	0.08289598057121456	0.0005082226884050833	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000162004	CCDC78	288.95567584545273	85.96441897930238	491.946932711603	-2.5097897888408256	0.6017840594628118	-2.731170690890148	0.006310977624258096	0.08289598057121456	0.0006172876389286122	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000268355	AC243960.3	7.52329379182471	14.505785258694708	0.5408023249547133	3.8497508227241095	0.9203247493000287	2.729119139874492	0.0063503756429764335	0.08289598057121456	0.00023728458522386304	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000269834	ZNF528-AS1	5.933465788854	11.866931577708	0.0	4.628415685197099	1.0350431147924797	2.7273749625486396	0.006384044785131698	0.08289598057121456	0.0003161229115650778	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000135077	HAVCR2	141.08908151147827	240.66616242965526	41.512000593301266	2.521154106524677	0.6023972307586115	2.7261458366449296	0.00640786790333695	0.08289598057121456	0.009747093735559903	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000088836	SLC4A11	157.45566080876173	47.365570432944914	267.5457511845785	-2.485419059281922	0.5889908823800432	-2.7209736368144517	0.006508995227408977	0.08289598057121456	3.2965223080944546e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000162390	ACOT11	28.481431996850144	5.569667822429487	51.3931961712708	-3.0958559274250885	0.8410317909003872	-2.7208263028042796	0.006511896828014346	0.08289598057121456	0.005891767603082469	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000115705	TPO	16.953923879227137	2.3225068602044465	31.585340898249825	-3.5068653189209167	1.0115125566934668	-2.712895248787285	0.0066698186882906615	0.08289598057121456	0.019872356554979393	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000188760	TMEM198	270.01539988755115	84.442688510081	455.5881112650213	-2.4247508872388868	0.5688448811956353	-2.7126391364782036	0.006674975259166586	0.08289598057121456	0.0010334800746317828	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000250420	AACSP1	22.594266870334934	39.90046483584213	5.288068904827732	2.803217890459118	0.6714329020967259	2.7116148000441114	0.00669563512314367	0.08289598057121456	0.002651424041492998	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000184454	NCMAP	22.925558529360554	40.82116298758322	5.029954071137885	2.9015414561833692	0.7229066813886486	2.7111990767183496	0.0067040362416881105	0.08289598057121456	0.005548599669703381	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000180921	FAM83H	223.23278198892572	70.28615623739199	376.1794077404595	-2.4117980235669205	0.5634568581642289	-2.7075208374204114	0.006778781516590898	0.08289598057121456	1.2610541216338928e-05	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000173621	LRFN4	104.02980843984132	32.524316916026855	175.5352999636558	-2.4142641324759175	0.558715273025084	-2.698872786682194	0.006957476620949634	0.08289598057121456	0.0015489656209287	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000234965	SHISA8	82.4786885706649	24.067364127077337	140.89001301425245	-2.5248652379889918	0.6074945868941615	-2.6975084527168285	0.0069860511141971076	0.08289598057121456	0.002328363942737967	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000204791	SMPD5	12.979716961299431	2.260557316107951	23.69887660649091	-3.1319086137539642	0.775846796538827	-2.6890106418675863	0.0071664134548638635	0.08289598057121456	0.003492705214028894	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000234797	RPS3AP6	293.07058550440695	94.6111939003227	491.5299771084912	-2.3710591639980136	0.555096953562035	-2.6865122234367727	0.007220230631778426	0.08289598057121456	0.00045549440697711745	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000105655	ISYNA1	23.21205288540972	5.445768734236496	40.97833703658295	-2.802422799705394	0.6883217571185596	-2.6860659593299876	0.007229881473167538	0.08289598057121456	0.0005058187928261425	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000132016	C19orf57	77.03095522372841	20.20068634673188	133.86122410072497	-2.6983663371851896	0.7007537235123166	-2.683606450612546	0.007283278463791735	0.08289598057121456	0.0010731027965053812	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000120129	DUSP1	783.6523832065286	246.83227351013818	1320.472492902919	-2.41707801585009	0.5835742118926356	-2.680541140396276	0.007350322871779364	0.08289598057121456	0.0005785619650675869	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000211890	IGHA2	58.72514336090504	15.68879258768058	101.7614941341295	-2.6591957164676434	0.6737107969029797	-2.680091016924722	0.007360214447772818	0.08289598057121456	0.0006199984645322432	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000185222	TCEAL9	64.82090094423616	110.59192557130389	19.049876317168422	2.5065225765632735	0.6022108956425722	2.6759961732106925	0.0074507495858449155	0.08289598057121456	0.013426842611123743	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000275709	AC090527.3	5.483331918006798	10.966663836013597	0.0	4.519373802950877	1.0200209194267924	2.6707540951035083	0.0075681067142749575	0.08289598057121456	0.00022896788518663344	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000167701	GPT	97.42027867456717	29.129571573549985	165.71098577558436	-2.487906069685709	0.6063465957403863	-2.668936164726626	0.007609191051514317	0.08289598057121456	0.008637751370140554	MM1S_coculture_vs_MM1S_monoculture	not_significant
