gene_id	gene_name	status	log2FoldChange	padj	pvalue	baseMean	mean_MM1S_coculture	mean_MM1S_monoculture
ENSG00000281181	FP236383.3	up	10.280702860776291	0.00011110239360441589	6.5776089991365745e-09	310.7353612083405	621.470722416681	0.0
ENSG00000187908	DMBT1	up	5.434868688017216	0.0645452736812012	1.5285127862459583e-05	266.00190666793407	520.4604915330153	11.543321802852816
ENSG00000228253	MT-ATP8	up	5.257642890740974	0.06695178962453716	1.981877616024426e-05	19676.32419853751	38350.680395779076	1001.9680012959567
ENSG00000250420	AACSP1	up	2.803217890459118	0.08289598057121456	0.00669563512314367	22.594266870334934	39.90046483584213	5.288068904827732
ENSG00000251595	ABCA11P	up	1.299705218889004	0.08289598057121456	0.02679542998283319	40.841106927357494	58.297947344355826	23.384266510359172
ENSG00000118777	ABCG2	up	2.0392828732940846	0.08289598057121456	0.02405220519699228	8.958922110078577	14.716020251310388	3.2018239688467656
ENSG00000228532	AC005000.1	up	1.6707029785729897	0.08289598057121456	0.029632094187770002	8.422041438444676	13.078935703602363	3.7651471732869894
ENSG00000243004	AC005062.1	up	1.179702578095679	0.08289598057121456	0.02204619363294839	64.24395909402143	89.33217756574372	39.155740622299156
ENSG00000267243	AC005381.1	up	1.209371834434071	0.08289598057121456	0.030031776682067475	28.79046847712137	40.39542807946677	17.185508874775973
ENSG00000267192	AC006116.4	up	1.42431130512691	0.08289598057121456	0.02775400207347815	12.13461853016995	17.90979805630074	6.3594390040391575
ENSG00000279407	AC007191.1	up	1.0173798851134266	0.08289598057121456	0.02422864533497279	377.3930480154468	505.37661159866724	249.40948443222638
ENSG00000284681	AC007240.1	up	1.137475233454616	0.08289598057121456	0.024696559775878653	135.6737227756844	186.73772142786393	84.6097241235049
ENSG00000257221	AC007569.1	up	1.0622370426412675	0.08289598057121456	0.022033306177200222	94.113310824037	127.45188284194091	60.774738806133065
ENSG00000276663	AC009090.3	up	1.3351368522134568	0.08289598057121456	0.031733631175921796	10.765832479835508	15.636063916748682	5.895601042922331
ENSG00000233868	AC009302.1	up	2.5743864290190333	0.08289598057121456	0.016593808185243506	14.602246426693545	25.362381316262212	3.8421115371248766
ENSG00000258056	AC009779.2	up	1.087753050117866	0.08289598057121456	0.028144816237146732	84.57926086587001	115.21524266337144	53.94327906836859
ENSG00000259659	AC009996.1	up	1.362422132705999	0.08289598057121456	0.023132693692464613	17.899431432355517	25.99442047152395	9.804442393187092
ENSG00000270933	AC010719.1	up	1.3304019344342233	0.08289598057121456	0.019665706637921977	109.39965356490565	156.76264602923354	62.036661100577795
ENSG00000253854	AC010834.3	up	1.1421060465956383	0.08289598057121456	0.031205782051770593	23.334333456337266	32.304861050246565	14.363805862427961
ENSG00000267383	AC011447.3	up	1.6241470862377159	0.08289598057121456	0.021891145169969362	42.26221852320169	64.07590807764808	20.4485289687553
ENSG00000269397	AC011503.2	up	3.6850369416924655	0.08289598057121456	0.008130818531604238	8.705653197144121	16.583115715377986	0.8281906789102562
ENSG00000242575	AC012501.2	up	1.4023436172233648	0.08289598057121456	0.025027707895208355	31.5557963695816	46.01450173169598	17.097091007467228
ENSG00000226398	AC013480.1	up	1.6010099004739735	0.08289598057121456	0.03078838217282304	13.009906720010813	19.821055804438426	6.198757635583199
ENSG00000251405	AC016571.1	up	2.299136579033111	0.08289598057121456	0.02418466396515174	8.074978567470755	13.75380296551949	2.39615416942202
ENSG00000270820	AC016727.1	up	1.1136436506278786	0.08289598057121456	0.028396173456303814	63.81136174966863	87.4696925382584	40.15303096107885
ENSG00000267940	AC022762.2	up	1.9215599873843383	0.08289598057121456	0.01862374652967565	19.240872173158568	30.73632514693482	7.7454191993823125
