gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3
FP236383.3 (ENSG00000281181)	-0.9123216621039686	-0.9123216621039686	-0.9123216621039686	0.8840327826954484	0.9755309471041576	0.8774012565123004
FOSB (ENSG00000125740)	1.1171293074155608	0.8492844414155141	0.7504492665886531	-0.8394531099161618	-0.9552646322466759	-0.9221452732568919
FOS (ENSG00000170345)	0.9156327744475664	0.9329233739753643	0.8854441049152517	-0.8397341675730857	-0.8839513062447777	-1.0103147795203198
DMBT1 (ENSG00000187908)	-0.8733249725626908	-0.8863526887653668	-0.9770638972699724	0.9138632330197436	0.926268870668052	0.896609454910234
MT-ATP8 (ENSG00000228253)	-0.8412507763997468	-0.9431941385986966	-0.9509134506205839	0.9244530421597202	0.9509668634899181	0.85993845996939
LINC01324 (ENSG00000241767)	0.8241425775578864	0.996792609705125	0.9030760552748012	-1.0392239213966052	-0.9211547738841318	-0.7636325472570762
ZNF718 (ENSG00000250312)	-0.5090142773336386	-0.8374004111851737	-1.3032149174362766	0.8956232255749128	0.8559586850571184	0.8980476953230558
ZNF528 (ENSG00000167555)	-0.46834919618751925	-1.2885392136528653	-0.8856192079935351	0.8570408274182545	0.8313756978835082	0.9540910925321577
LINC01323 (ENSG00000241636)	0.7692665037378823	0.9363187730885	0.9514841378675785	-1.3117298550946241	-0.6901291428650558	-0.6552104167342808
ZNF528-AS1 (ENSG00000269834)	-0.9126958884407513	-0.9126958884407513	-0.9126958884407513	0.8859454732816248	0.905529500740171	0.9466126913004583
MIR138-1 (ENSG00000207954)	-1.087460275080292	-0.4919954713847422	-1.087460275080292	0.9740026350596711	0.9210950084942819	0.7718183779913725
AC090527.3 (ENSG00000275709)	-0.9127456649815865	-0.9127456649815865	-0.9127456649815865	0.884472034873783	0.9175816976834719	0.9361832623875047
NR2F2-AS1 (ENSG00000247809)	-0.9048121597994832	-0.9048121597994832	-0.9048121597994832	0.9603200505495278	0.6730140476728855	1.0811023811760359
ZNF737 (ENSG00000237440)	-1.0640321142878155	-1.0062533544041856	-0.6369045229198965	0.9527881982368888	0.9151106460963425	0.8392911472786675
