gene_id	gene_name	baseMean	mean_HUVEC_MM1S	mean_MM1S_coculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000170345	FOS	1954.6679666639798	3814.6820792922717	38.41340714002329	6.615340797147788	0.7150935633508805	6.581663174093803	4.65214560185905e-11	8.175215466146909e-07	3.7341011191624015e-06	HUVEC_MM1S_vs_MM1S_coculture	up
ENSG00000168675	LDLRAD4	77.82514027478064	3.0548110452684107	90.60004994705258	-4.67960706396049	0.5832666722078982	-4.651518390280673	3.294998838906733e-06	0.013384839260554672	4.7680745651487384e-05	HUVEC_MM1S_vs_MM1S_coculture	down
ENSG00000125740	FOSB	493.30534463718766	479.80220930438344	9.179971277196698	5.632795867821851	1.010345102699752	4.6378902962206485	3.5198351406265924e-06	0.013384839260554672	0.001312026540033435	HUVEC_MM1S_vs_MM1S_coculture	up
ENSG00000127533	F2RL3	159.54507069266845	14.9574510201103	224.92293929359266	-3.8662599939985736	0.4678935293368274	-4.63033137098876	3.6508099953222835e-06	0.013384839260554672	9.53004297003335e-05	HUVEC_MM1S_vs_MM1S_coculture	down
ENSG00000184557	SOCS3	392.91345047731977	1164.4049433649282	3.225837355550236	8.288431822439275	2.183336720088652	4.621576224978051	3.8083535140712096e-06	0.013384839260554672	1.2376456317903758e-06	HUVEC_MM1S_vs_MM1S_coculture	up
ENSG00000112799	LY86	76.68821667684809	9.617501513184878	131.44227382592456	-3.704981903021137	0.5152628847606219	-4.171600809597416	3.0246718745013455e-05	0.08858759808435358	3.1731171093586454e-05	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000112902	SEMA5A	278.7808929337526	36.17399230312326	358.1395506791784	-3.289705366620507	0.4482799827789131	-4.102922345833341	4.079642069798682e-05	0.09690945913995791	1.6201202554932807e-05	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000274460	AC092119.2	34.35345400598433	3.5386245424247065	50.12857370549059	-3.6480159068068785	0.44111992499887215	-4.084786119740949	4.4117434309432843e-05	0.09690945913995791	5.4474674862032374e-05	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000120738	EGR1	278.26813974279116	767.4210489851139	9.103319432826915	6.3212810164828905	1.7454873667493218	4.001812458246355	6.28591148275978e-05	0.12273591387393068	0.00040791525175970327	HUVEC_MM1S_vs_MM1S_coculture	not_significant
ENSG00000120129	DUSP1	1004.1573361153746	1513.4172918869263	236.42562159487036	2.675780262408463	0.35064157430712106	3.8228179640675166	0.00013193518204001955	0.1615846935303282	1.1001870089289648e-05	HUVEC_MM1S_vs_MM1S_coculture	not_significant
