	size_factor
MM1S monoculture-1	0.7519000457830629
MM1S monoculture-2	1.290118400620796
MM1S monoculture-3	0.8406156886429352
MM1S cocultured-1	1.1883759861307177
MM1S cocultured-2	1.5152253327301073
MM1S cocultured-3	0.9215527240091548
HUVEC-MM1S-1	1.110972869459813
HUVEC-MM1S-2	0.7807976360570794
HUVEC-MM1S-3	0.9338717053132419
