gene_id	gene_name	baseMean	mean_HUVEC_MM1S	mean_MM1S_monoculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000228253	MT-ATP8	31157.874927012108	55782.76077302688	958.1327364453088	5.862710250839554	0.6177954711939297	6.32937406855889	2.4615769691729695e-10	4.325729207927659e-06	6.76763175083269e-06	HUVEC_MM1S_vs_MM1S_monoculture	up
ENSG00000187908	DMBT1	557.1276599433045	1161.8600721353873	11.037783318384925	6.654547166448945	0.8095902858525212	6.115393286127835	9.631912030074095e-10	8.463079505224603e-06	3.272816755505599e-07	HUVEC_MM1S_vs_MM1S_monoculture	up
ENSG00000281181	FP236383.3	285.4622066063657	261.2481973753533	0.0	9.032035791318226	0.8714685897552121	5.602010741657877	2.1187942214683884e-08	0.0001241119028462133	0.0017135963887674735	HUVEC_MM1S_vs_MM1S_monoculture	up
ENSG00000168675	LDLRAD4	77.82514027478064	3.0548110452684107	139.8205598320209	-5.3028097226164075	0.5832666722078982	-5.277950269045948	1.306369051636074e-07	0.0005739205836100183	0.0005712005983849025	HUVEC_MM1S_vs_MM1S_monoculture	down
ENSG00000127533	F2RL3	159.54507069266845	14.9574510201103	238.75482176430236	-3.9521736607475093	0.4678935293368274	-4.733827856130364	2.203246105088296e-06	0.007743528760943325	0.0003541552252811261	HUVEC_MM1S_vs_MM1S_monoculture	down
ENSG00000250312	ZNF718	51.70756271332035	65.7425727454355	1.846712446678934	4.819045727836362	0.5576896692702471	4.637224753247868	3.5311837772466205e-06	0.01034224875292581	0.0002799870120277292	HUVEC_MM1S_vs_MM1S_monoculture	up
ENSG00000112902	SEMA5A	278.7808929337526	36.17399230312326	442.02913581895626	-3.5929432139839146	0.4482799827789131	-4.482399403870367	7.380843817355386e-06	0.018529081200340886	6.847313274775405e-06	HUVEC_MM1S_vs_MM1S_monoculture	down
ENSG00000237440	ZNF737	33.62407317387125	46.77678867212081	2.1496740283184628	4.1572452516166996	0.47681616885634526	4.292131210468091	1.7696631801508637e-05	0.03887286383098891	2.6621133682257102e-05	HUVEC_MM1S_vs_MM1S_monoculture	up
ENSG00000111863	ADTRP	357.2294122043407	734.1453069132334	36.07337760016754	4.328182099687942	0.737917024310928	4.236333074188268	2.2719968224173543e-05	0.04436200017815574	0.008366611325201074	HUVEC_MM1S_vs_MM1S_monoculture	up
ENSG00000167555	ZNF528	41.44947531697442	49.128674329966806	1.726498761643274	4.478325203722036	0.5856791693680801	4.197537510600028	2.6983297457001846e-05	0.047417748621189346	0.00038216854184769074	HUVEC_MM1S_vs_MM1S_monoculture	up
