gene_id	gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3	HUVEC-MM1S-1	HUVEC-MM1S-2	HUVEC-MM1S-3
ENSG00000000419	DPM1	1573.3474238161136	1485.1350070489918	1542.9167186896523	2181.127883978369	2073.61897410915	2343.870235229799	2342.9915091136772	2279.7200168135178	2256.198563477479
ENSG00000000457	SCYL3	1173.028256809647	1221.593304336749	1196.7418804948265	1354.7900822550826	1300.1366578596515	1237.0426241490609	1345.667424558182	1351.182369515877	1309.6017290616785
ENSG00000000460	C1orf112	1485.5697991568884	1467.3071859831637	1462.0236293520297	2214.7872649039614	2043.9204210108328	2311.3164819627186	2026.1520887494767	2082.485813111674	2000.2747586976416
ENSG00000000971	CFH	6.649820049941309	1.5502453100720166	13.0856468046154	13.463752370236847	3.959807079775588	8.68100087122148	64.80806325631379	56.35262962909819	46.04486864239753
ENSG00000001036	FUCA2	1.329964009988262	7.751226550360083	3.5688127648951093	58.9039166197862	48.17765280393632	48.83062990062082	56.707055349274555	64.03707912397522	50.32811223703916
ENSG00000001084	GCLC	1236.8665292890835	1280.5026261194857	1325.2191400310505	1475.1223690640745	1412.3311917866265	1462.7486468008192	1448.2801913806788	1485.660235676225	1362.0714630960385
ENSG00000001167	NFYA	1457.640554947135	1531.6423663511523	1522.6934463552466	1581.9909035028295	1599.1020923827084	1640.7091646608596	1459.081535256731	1618.8573602540935	1508.7725562125145
ENSG00000001460	STPG1	207.47438555816885	193.00554110396607	218.8871829135667	223.83488315518755	242.8681675595694	248.49364993871484	212.42642956236185	281.76314814549096	249.498939387875
ENSG00000001461	NIPAL3	3331.5598450205957	3148.548224756266	3115.5735437534304	3622.5908721168516	3579.0056322705022	3689.4253702691285	3690.459157651201	3794.8373088867716	3616.128404776197
ENSG00000001497	LAS1L	3093.496287232697	2995.849061714172	3065.610165044899	2891.3408215083628	2864.2604543710086	2968.9022979577458	3220.6006990429264	3360.6659124262196	3125.69701318973
ENSG00000001561	ENPP4	702.2209972738023	717.7635785633437	768.4843487074136	885.2417183430726	888.3167215629903	940.8034694186279	845.2051583010922	851.6931523488704	873.7816933068926
ENSG00000001626	CFTR	6.649820049941309	15.502453100720166	11.896042549650364	5.8903916619786205	2.6398713865170587	17.36200174244296	5.400671938026148	1.2807415824795043	0.0
ENSG00000001629	ANKIB1	2522.9417269477326	2798.19278467999	2739.658599184479	3145.469147496583	3163.2258888940655	3334.5894596579506	2975.7702378524077	2949.5478644502987	2914.74726615363
ENSG00000001630	CYP51A1	115.70686886897877	141.0723232165535	116.58121698657357	278.53137715927477	252.10771741237912	246.32339972090946	263.73281297361024	302.255013465163	340.51786577400964
ENSG00000001631	KRIT1	369.72999477673676	458.8726117813169	422.3095105125879	546.9649400408719	533.9139879230752	600.0741852231847	558.0694335960353	472.5936439349371	533.263827532883
ENSG00000002016	RAD52	300.57186625734715	270.5178066075669	265.2817488572031	316.3981807005659	315.46463068878853	332.0482833242216	442.85509891814417	413.67953114087993	358.72165105123656
ENSG00000002330	BAD	621.0931926645183	544.9112264903139	555.545187068672	418.217808000482	405.8802256769978	428.6244180165605	413.15140325900035	400.8721153160849	448.6697665387108
ENSG00000002549	LAP3	3338.209665070537	3359.38158692606	3214.3106969155283	3207.7390022089285	3152.6664033479974	3349.7812111825883	5787.720093584689	6161.6477533088955	5969.770760031773
ENSG00000002586	CD99	97.08737272914311	102.31619046475309	107.06438294685327	170.82135819738	145.19292625843823	105.25713556356044	97.21209488447067	106.30155134579886	135.9929841298718
ENSG00000002587	HS3ST1	73.1480205493544	72.86152957338479	64.23862976811196	84.14845231398029	75.23633451573617	81.38438316770137	39.604927545525086	28.176314814549094	42.832435946416304
ENSG00000002726	AOC1	29.259208219741762	19.378066375900207	24.981689354265765	11.780783323957241	7.919614159551176	9.766125980124164	14.401791834736395	8.96519107735653	11.778919885264484
ENSG00000002745	WNT16	38.568956289659596	24.803924961152266	45.20496168867138	11.780783323957241	13.199356932585294	3.2553753267080547	26.10324770045972	35.86076430942612	31.05351606115182
ENSG00000002746	HECW1	252.69316189776976	230.98655120073047	199.85351483412612	228.8837902940264	260.0273315719303	257.17465080993634	137.7171344196668	148.5660235676225	143.48866042049463
ENSG00000002822	MAD1L1	783.3488018830863	718.5387012183797	753.0194933928681	578.9413519201844	518.734727450602	536.0518037979264	665.1827603668872	645.4937575696702	653.1946481828487
ENSG00000002834	LASP1	5020.614137705688	4694.142798898067	4786.967521979306	5891.23314650176	5843.35531405551	5625.288564551519	5997.446187178038	6196.227776035842	6539.44215811911
ENSG00000002919	SNX11	1087.9105601703982	996.0326117212707	1067.0750167036376	952.5604801942569	1001.8311911832238	960.3357213788761	1048.6304679667437	1022.0317828186445	1009.7746774367645
ENSG00000003056	M6PR	3896.794549265607	3765.545858164928	3929.2628541495155	4835.1700699613075	4960.978303112182	4943.829996160633	4954.21639114932	4987.20772217519	5181.653938617713
ENSG00000003147	ICA1	397.65923898649027	435.61893213023666	454.4288253966439	420.7422615699014	457.3577177140804	477.45504791718133	401.44994739327706	421.36398063575695	380.13786902444474
ENSG00000003393	ALS2	996.1430434812081	931.697431353282	838.6709997503507	1261.3853001865646	1194.5418023989691	1336.8741341681077	1476.1836630604805	1474.1335614339096	1404.903899042455
ENSG00000003400	CASP10	4681.4733151586815	4580.974891262809	4784.588313469377	4241.081996624606	4394.725890704273	4395.841816164777	5544.689856373512	5963.132808024572	5696.713980873369
ENSG00000003402	CFLAR	4172.0970993331775	4248.4472722523615	4230.23273065567	3375.1944223137493	3476.710616042966	3453.953221637246	5504.184816838316	5366.307230589123	5279.09773039581
ENSG00000003509	NDUFAF7	561.2448122150465	655.753766160463	555.545187068672	727.0426279927897	778.7620590225323	746.5660749250472	823.6024705489876	883.711691910858	787.0460105153996
ENSG00000003756	RBM5	2358.026189709188	2350.947012724213	2448.205556718045	2719.677978787843	2706.5281390266146	2640.1093899602324	2487.0094274610415	2400.1097255665914	2413.607765580559
ENSG00000003987	MTMR7	121.02672490893183	124.79474746079734	146.32132336069947	156.51612130400335	161.03215457754058	185.5563936223591	187.22329385157315	197.23420370184368	194.8875835561942
ENSG00000003989	SLC7A2	110.38701282902574	99.99082249964508	91.59952763230781	70.68469994374344	77.21623805562398	81.38438316770137	82.81030304973427	93.49413552100381	72.81514110890772
ENSG00000004059	ARF5	3281.021212641042	3098.165252178925	3107.246313968675	1971.598237716558	1818.8713853102536	1945.629320262514	1516.6887025956767	1579.1543711972288	1600.8622934973096
ENSG00000004139	SARM1	383.0296348766194	374.384242382392	409.22386370797255	125.38119394783062	106.91479115394088	139.98113904844635	159.31982217177136	158.81195622745855	138.13460592719258
ENSG00000004142	POLDIP2	4402.1808730611465	4015.135353086523	4298.040173188677	3372.66996874433	3373.095664122172	3307.4613319353834	3750.76666095916	3942.1225908719143	3997.3370846993016
