gene_name	MM1S monoculture-1	MM1S monoculture-2	MM1S monoculture-3	MM1S cocultured-1	MM1S cocultured-2	MM1S cocultured-3	HUVEC-MM1S-1	HUVEC-MM1S-2	HUVEC-MM1S-3
FOS (ENSG00000170345)	0.5164970236155503	0.5337756111584632	0.4870068664720025	-1.247023019362462	-1.2935095379585135	-1.4206380408937722	0.8718712473042849	0.7846896696915148	0.7673301799729271
FP236383.3 (ENSG00000281181)	-1.3222377251601203	-1.3222377251601203	-1.3222377251601203	0.7663909221883297	0.8719575182903921	0.757046675165263	0.4735171444923831	0.6100382356913957	0.4877626796525966
MT-ATP8 (ENSG00000228253)	-1.2531192842566217	-1.3583975184640835	-1.3652435973764236	0.570781939282916	0.5958161977513078	0.5017737932799018	0.7997619327234605	0.6822157840144364	0.8264107530451084
DMBT1 (ENSG00000187908)	-1.2750818389747163	-1.2877859841613761	-1.3744966569734867	0.45917019918155794	0.4690786935914333	0.44017673135063934	0.8835259172507874	0.8205883548358276	0.8648245838993341
FOSB (ENSG00000125740)	1.0599433651349228	0.7457344329914007	0.6308549722346494	-1.2305622372148013	-1.3677301685175816	-1.3291963922073133	0.637235506019405	0.4368973165615798	0.4168232049977383
LDLRAD4 (ENSG00000168675)	0.7923344857798107	0.7744997266790634	0.7795416973717185	0.4900242636226478	0.5354435553765371	0.5691383200609273	-1.2046291388069892	-1.612086258511579	-1.1242666515721396
ZNF718 (ENSG00000250312)	-0.8708560051841997	-1.244357147738531	-1.765297242868764	0.7449955588238987	0.6968696747775032	0.7451577532450843	0.5084010774578631	0.6933362354813821	0.49175009600576425
ZNF528 (ENSG00000167555)	-0.8129684626128515	-1.7505684081012367	-1.2934263927069534	0.7345505561365322	0.7019882490097018	0.8451905915507103	0.6239503241982776	0.5567507734835949	0.3945327690422246
F2RL3 (ENSG00000127533)	0.7122057126914034	0.716453764131543	0.6267176386642415	0.7415337093540797	0.5733890702754479	0.60174490483619	-1.4207212287743232	-1.0847913619679628	-1.4665322092106194
SOCS3 (ENSG00000184557)	-0.37875904259311977	-0.8866394499511496	-0.21650992003718628	-0.719276399902663	-0.7907388896202472	-0.9044651319774095	1.3078737434566006	1.2617544226030968	1.3267606680220778
SEMA5A (ENSG00000112902)	0.8368246583734381	0.682985252484764	0.7342695131887028	0.6589281181379982	0.5371440922452131	0.5306350289839776	-1.3091038991397852	-1.2761633789312314	-1.3955193853430754
ZNF737 (ENSG00000237440)	-1.4994262127847382	-1.435867523756279	-1.0256382506112944	0.7547118069197438	0.7093587851429194	0.6241380819599369	0.5853735310323053	0.5965228972597377	0.6908268848376696
ADTRP (ENSG00000111863)	-1.8056397555072508	-0.9947054820330765	-0.9228841900925968	0.3869604566867932	0.2913286749360085	0.2575000691476645	0.9219037691204606	0.9943071370150689	0.8712293207269266
