gene_id	gene_name	baseMean	mean_MM1S_coculture	mean_MM1S_monoculture	log2FoldChange	dispersion_method_of_moments	stat	pvalue	padj	welch_logCPM_pvalue	comparison	status
ENSG00000281181	FP236383.3	285.4622066063657	595.1384224437438	0.0	10.218293009646981	0.8714685897552121	6.339584473573415	2.303856701136394e-10	4.0485673809069854e-06	0.0008666981117123855	MM1S_coculture_vs_MM1S_monoculture	up
ENSG00000228253	MT-ATP8	31157.874927012108	36732.731271564146	958.1327364453088	5.259963791851341	0.6177954711939297	5.6786284604335195	1.3577904305886959e-08	8.745700812634123e-05	2.1791522624762604e-06	MM1S_coculture_vs_MM1S_monoculture	up
ENSG00000170345	FOS	1954.6679666639798	38.41340714002329	2010.9084135596438	-5.691794934449241	0.7150935633508805	-5.662361938189891	1.493034907978283e-08	8.745700812634123e-05	8.835391047412678e-05	MM1S_coculture_vs_MM1S_monoculture	down
ENSG00000125740	FOSB	493.30534463718766	9.179971277196698	990.933853329983	-6.678369944757983	1.010345102699752	-5.500176036665052	3.794122582909273e-08	0.0001666852903736616	0.0043448144570960405	MM1S_coculture_vs_MM1S_monoculture	down
ENSG00000250312	ZNF718	51.70756271332035	87.53340294784662	1.846712446678934	5.22933805868112	0.5576896692702471	5.03808762150559	4.70206192804671e-07	0.0016525866852312968	0.0006793848559187572	MM1S_coculture_vs_MM1S_monoculture	up
ENSG00000187908	DMBT1	557.1276599433045	498.48512437614136	11.037783318384925	5.434558827117783	0.8095902858525212	4.992576253700405	5.957917890922757e-07	0.0017449748516197602	1.221119799065231e-06	MM1S_coculture_vs_MM1S_monoculture	up
ENSG00000167555	ZNF528	41.44947531697442	73.49325285931319	1.726498761643274	5.0545450088255715	0.5856791693680801	4.7472375894516325	2.062136681113983e-06	0.005176846842459433	7.782718717543375e-05	MM1S_coculture_vs_MM1S_monoculture	up
ENSG00000237440	ZNF737	33.62407317387125	51.94575682117448	2.1496740283184628	4.306939264193298	0.47681616885634526	4.450113952320686	8.582473871702144e-06	0.01885247666842772	2.3477707532974184e-05	MM1S_coculture_vs_MM1S_monoculture	up
ENSG00000231205	ZNF826P	101.56655346034425	141.82493536259793	16.604001658660206	3.0567826413348484	0.39231521739537323	3.9802458804168235	6.884402356352061e-05	0.05533838123460335	0.013667338385507603	MM1S_coculture_vs_MM1S_monoculture	not_significant
ENSG00000001036	FUCA2	37.73716103998619	51.97073310811445	4.216667775081151	3.475673055731447	0.43715482084494905	3.96888776154372	7.220888089301337e-05	0.05533838123460335	0.001924784843676761	MM1S_coculture_vs_MM1S_monoculture	not_significant
